Time,temperature
12:44:54,24.41
12:44:55,24.90
12:44:56,25.87
12:44:57,24.90
12:44:58,25.87
12:44:59,24.90
12:45:0,25.87
12:45:1,24.90
12:45:2,25.87
12:45:3,24.90
12:45:4,25.87
12:45:5,24.90
12:45:6,25.39
12:45:7,24.90
12:45:8,25.39
12:45:9,24.90
12:45:10,24.41
12:45:11,25.39
12:45:12,24.90
12:45:13,24.41
12:45:14,25.39
12:45:15,24.90
12:45:16,25.39
12:45:18,24.90
12:45:19,25.39
12:45:20,24.90
12:45:21,25.87
12:45:22,24.90
12:45:23,24.90
12:45:24,24.90
12:45:25,25.87
12:45:26,25.39
12:45:27,24.90
12:45:28,24.90
12:45:29,25.87
12:45:30,25.87
12:45:31,24.90
12:45:32,24.90
12:45:33,24.90
12:45:34,25.39
12:45:35,25.87
12:45:36,24.90
12:45:37,24.90
12:45:38,26.36
12:45:39,25.39
12:45:40,25.87
12:45:41,25.39
12:45:42,25.39
12:45:43,25.39
12:45:44,25.87
12:45:45,25.39
12:45:46,24.41
12:45:47,25.39
12:45:48,25.87
12:45:49,24.90
12:45:50,24.41
12:45:51,25.39
12:45:52,25.87
12:45:53,25.39
12:45:54,24.41
12:45:55,25.39
12:45:56,25.39
12:45:57,25.39
12:45:58,25.39
12:45:59,24.90
12:46:0,25.39
12:46:1,25.39
12:46:2,25.39
12:46:3,25.39
12:46:4,25.39
12:46:5,25.39
12:46:6,24.41
12:46:7,25.39
12:46:8,25.87
12:46:9,24.90
12:46:10,26.36
12:46:11,25.39
12:46:12,25.39
12:46:13,25.39
12:46:14,25.87
12:46:15,24.90
12:46:16,25.39
12:46:17,25.39
12:46:18,25.87
12:46:19,24.90
12:46:20,24.90
12:46:21,24.90
12:46:22,25.87
12:46:23,25.39
12:46:24,24.90
12:46:25,24.90
12:46:26,25.87
12:46:27,25.39
12:46:28,25.87
12:46:29,24.90
12:46:30,24.41
12:46:31,24.90
12:46:32,24.41
12:46:33,24.90
12:46:34,24.41
12:46:35,25.39
12:46:36,24.41
12:46:37,24.90
12:46:38,24.41
12:46:39,25.39
12:46:40,25.39
12:46:41,24.90
12:46:42,25.39
12:46:43,25.39
12:46:44,25.39
12:46:45,24.90
12:46:46,25.39
12:46:47,24.90
12:46:48,24.41
12:46:49,24.90
12:46:50,24.41
12:46:51,24.90
12:46:52,24.90
12:46:53,24.90
12:46:54,24.90
12:46:55,24.90
12:46:56,24.41
12:46:57,24.90
12:46:58,24.41
12:46:59,24.90
12:47:0,24.41
12:47:1,25.39
12:47:2,24.41
12:47:3,24.90
12:47:4,24.90
12:47:5,24.90
12:47:6,24.41
12:47:7,24.90
12:47:8,24.90
12:47:9,24.90
12:47:10,24.41
12:47:11,25.39
12:47:12,24.41
12:47:13,24.90
12:47:14,24.90
12:47:15,25.39
12:47:16,24.90
12:47:17,24.90
12:47:18,24.90
12:47:19,25.87
12:47:20,24.90
12:47:21,25.39
12:47:22,24.90
12:47:23,25.39
12:47:24,24.90
12:47:25,25.87
12:47:26,24.90
12:47:27,25.39
12:47:28,24.90
12:47:29,25.87
12:47:30,24.90
12:47:32,25.39
12:47:33,24.90
12:47:34,25.87
12:47:35,24.90
12:47:36,25.87
12:47:37,24.90
12:47:38,25.87
12:47:39,24.90
12:47:40,25.39
12:47:41,24.90
12:47:42,25.87
12:47:43,24.90
12:47:44,24.90
12:47:45,24.90
12:47:46,24.90
12:47:47,24.90
12:47:48,25.39
