CPUID:,0x200F31
Processor:,Mobile AMD Turion X2 RM-74 (Griffin)
Platform:,Socket S1g2 (638 pin)
Revision:,LG-B1
Lithography:,65nm

Session start:,12:29:35 - July 16 - 2011

Time,CPU 0 Temp. (°),,CPU 0,Low temp. (°),High temp. (°),Core load (%),CPU speed (MHz),
12:37:09,58,,,54,80,2,549.99,
12:37:10,60,,,54,80,44,1099.98,
12:37:11,60,,,54,80,72,549.99,
12:37:12,60,,,54,80,26,549.99,
12:37:13,60,,,54,80,42,1099.98,
12:37:14,59,,,54,80,49,549.99,
12:37:15,59,,,54,80,72,549.99,
12:37:16,59,,,54,80,57,549.99,
12:37:17,59,,,54,80,63,549.99,
12:37:18,59,,,54,80,5,549.99,
12:37:19,59,,,54,80,6,549.99,
12:37:20,59,,,54,80,6,549.99,
12:37:21,59,,,54,80,11,549.99,
12:37:22,58,,,54,80,6,549.99,
12:37:23,58,,,54,80,11,549.99,
12:37:24,58,,,54,80,0,549.99,
12:37:25,58,,,54,80,3,549.99,
12:37:26,58,,,54,80,5,549.99,
12:37:27,58,,,54,80,2,549.99,
12:37:28,58,,,54,80,33,549.99,
12:37:29,58,,,54,80,29,549.99,
12:37:30,57,,,54,80,14,549.99,
12:37:31,57,,,54,80,11,549.99,
12:37:32,57,,,54,80,15,549.99,
12:37:33,57,,,54,80,18,549.99,
12:37:34,57,,,54,80,14,549.99,
12:37:35,57,,,54,80,5,549.99,
12:37:36,57,,,54,80,12,549.99,
12:37:37,56,,,54,80,2,549.99,
12:37:38,57,,,54,80,34,549.99,
12:37:39,57,,,54,80,51,549.99,
12:37:40,57,,,54,80,23,549.99,
12:37:41,58,,,54,80,60,1099.98,
12:37:42,58,,,54,80,11,549.99,
12:37:43,58,,,54,80,3,549.99,
12:37:44,58,,,54,80,80,1099.98,
12:37:45,59,,,54,80,37,549.99,
12:37:46,58,,,54,80,6,549.99,
12:37:47,58,,,54,80,20,549.99,
12:37:48,58,,,54,80,24,549.99,
12:37:49,58,,,54,80,9,549.99,
12:37:50,58,,,54,80,23,549.99,
12:37:51,58,,,54,80,37,549.99,
12:37:52,58,,,54,80,44,549.99,
12:37:53,57,,,54,80,9,549.99,
12:37:54,57,,,54,80,14,549.99,
12:37:55,58,,,54,80,62,549.99,
12:37:56,58,,,54,80,6,549.99,
12:37:57,58,,,54,80,28,1099.98,
12:37:58,58,,,54,80,13,549.99,
12:37:59,59,,,54,80,75,1099.98,
12:38:00,68,,,54,80,57,549.99,
12:38:01,68,,,54,80,80,549.99,
12:38:02,68,,,54,80,83,1099.98,
12:38:03,67,,,54,80,44,549.99,
12:38:04,67,,,54,80,25,549.99,
12:38:05,67,,,54,80,38,549.99,
12:38:06,67,,,54,80,46,549.99,
12:38:07,67,,,54,80,51,549.99,
12:38:08,67,,,54,80,42,549.99,
12:38:09,67,,,54,80,43,549.99,
12:38:10,67,,,54,80,52,549.99,
12:38:11,66,,,54,80,29,549.99,
12:38:12,66,,,54,80,32,549.99,
12:38:13,66,,,54,80,15,549.99,
12:38:14,66,,,54,80,3,549.99,
12:38:15,66,,,54,80,43,549.99,
12:38:16,66,,,54,80,35,549.99,
12:38:17,66,,,54,80,18,549.99,
12:38:18,66,,,54,80,18,549.99,
12:38:19,65,,,54,80,0,549.99,
12:38:21,65,,,54,80,0,549.99,
12:38:22,65,,,54,80,0,549.99,
12:38:23,65,,,54,80,9,549.99,
12:38:24,65,,,54,80,26,549.99,
12:38:25,65,,,54,80,12,549.99,
12:38:26,65,,,54,80,12,549.99,
12:38:27,65,,,54,80,5,549.99,
12:38:28,64,,,54,80,27,549.99,
12:38:29,64,,,54,80,16,549.99,
12:38:30,64,,,54,80,2,549.99,
12:38:31,64,,,54,80,12,549.99,
12:38:32,64,,,54,80,14,549.99,
12:38:33,64,,,54,80,5,549.99,
12:38:34,64,,,54,80,2,549.99,
12:38:35,64,,,54,80,2,549.99,
12:38:36,63,,,54,80,3,549.99,
12:38:37,63,,,54,80,9,549.99,
12:38:38,63,,,54,80,9,549.99,
12:38:39,63,,,54,80,6,549.99,
12:38:40,63,,,54,80,17,549.99,
12:38:41,63,,,54,80,6,549.99,
12:38:42,63,,,54,80,2,549.99,
12:38:43,62,,,54,80,12,549.99,
12:38:44,62,,,54,80,0,549.99,
12:38:45,62,,,54,80,0,549.99,
12:38:46,62,,,54,80,0,549.99,
12:38:47,62,,,54,80,11,549.99,
12:38:48,62,,,54,80,12,549.99,
12:38:49,62,,,54,80,0,549.99,
12:38:50,62,,,54,80,2,549.99,
12:38:51,61,,,54,80,0,549.99,
12:38:52,61,,,54,80,2,549.99,
12:38:53,61,,,54,80,5,549.99,
12:38:54,61,,,54,80,2,549.99,
12:38:55,61,,,54,80,0,549.99,
12:38:56,61,,,54,80,2,549.99,
12:38:57,61,,,54,80,3,549.99,
12:38:58,61,,,54,80,0,549.99,
12:38:59,60,,,54,80,2,549.99,
12:39:00,60,,,54,80,0,549.99,
12:39:01,60,,,54,80,3,549.99,
12:39:02,60,,,54,80,3,549.99,
12:39:03,60,,,54,80,6,549.99,
12:39:04,60,,,54,80,9,549.99,
12:39:05,60,,,54,80,5,549.99,
12:39:06,60,,,54,80,5,549.99,
12:39:07,59,,,54,80,2,549.99,
12:39:08,59,,,54,80,2,549.99,
12:39:09,59,,,54,80,5,549.99,
12:39:10,59,,,54,80,63,1099.98,
12:39:11,59,,,54,80,28,1099.98,
12:39:12,59,,,54,80,48,549.99,
12:39:13,59,,,54,80,17,549.99,
12:39:14,59,,,54,80,22,549.99,
12:39:15,58,,,54,80,2,549.99,
12:39:16,58,,,54,80,11,549.99,
12:39:17,58,,,54,80,8,549.99,
12:39:18,58,,,54,80,6,549.99,
12:39:19,58,,,54,80,18,549.99,
12:39:20,58,,,54,80,32,549.99,
12:39:21,58,,,54,80,52,549.99,
12:39:22,58,,,54,80,17,549.99,
12:39:23,57,,,54,80,9,549.99,
12:39:24,57,,,54,80,12,549.99,
12:39:25,57,,,54,80,17,549.99,
12:39:26,57,,,54,80,9,549.99,
12:39:27,57,,,54,80,17,549.99,
12:39:28,57,,,54,80,29,549.99,
12:39:29,57,,,54,80,28,549.99,
12:39:30,57,,,54,80,0,549.99,
12:39:31,57,,,54,80,26,549.99,
12:39:32,57,,,54,80,34,549.99,
12:39:34,57,,,54,80,26,549.99,
12:39:35,57,,,54,80,45,549.99,
12:39:36,57,,,54,80,20,549.99,
12:39:37,57,,,54,80,5,549.99,
12:39:38,57,,,54,80,14,549.99,
12:39:39,57,,,54,80,6,549.99,
12:39:40,57,,,54,80,5,549.99,
12:39:41,57,,,54,80,2,549.99,
12:39:42,57,,,54,80,2,549.99,
12:39:43,56,,,54,80,6,549.99,
12:39:44,56,,,54,80,2,549.99,
12:39:45,56,,,54,80,2,549.99,
12:39:46,57,,,54,80,11,549.99,
12:39:47,56,,,54,80,14,549.99,
12:39:48,57,,,54,80,8,549.99,
12:39:49,56,,,54,80,3,549.99,
12:39:50,56,,,54,80,0,549.99,
12:39:51,56,,,54,80,0,549.99,
12:39:52,56,,,54,80,2,549.99,
12:39:53,56,,,54,80,5,549.99,
12:39:54,56,,,54,80,0,549.99,
12:39:55,56,,,54,80,0,549.99,
12:39:56,56,,,54,80,0,549.99,
12:39:57,56,,,54,80,0,549.99,
12:39:58,56,,,54,80,0,549.99,
12:39:59,56,,,54,80,0,549.99,
12:40:00,56,,,54,80,2,549.99,
12:40:01,56,,,54,80,0,549.99,
12:40:02,56,,,54,80,0,549.99,
12:40:03,56,,,54,80,6,549.99,
12:40:04,56,,,54,80,2,549.99,
12:40:05,56,,,54,80,2,549.99,
12:40:06,56,,,54,80,0,549.99,
12:40:07,56,,,54,80,2,549.99,
12:40:08,56,,,54,80,0,549.99,
12:40:09,56,,,54,80,0,549.99,
12:40:10,56,,,54,80,0,549.99,
12:40:11,56,,,54,80,0,549.99,
12:40:12,56,,,54,80,2,549.99,
12:40:13,56,,,54,80,9,549.99,
12:40:14,55,,,54,80,2,549.99,
12:40:15,55,,,54,80,0,549.99,
12:40:16,55,,,54,80,0,549.99,
12:40:17,55,,,54,80,5,549.99,
12:40:18,55,,,54,80,2,549.99,
12:40:19,56,,,54,80,0,549.99,
12:40:20,56,,,54,80,2,549.99,
