CPUID:,0x20652,,,,,,,,,,,,
Processor:,Mobile Intel Core i5 520M (Arrandale),,,,,,,,,,,,
Platform:,LGA 1156 (Socket H),,,,,,,,,,,,
Revision:,C2,,,,,,,,,,,,
Lithography:,32nm,,,,,,,,,,,,
,,,,,,,,,,,,,
Session start:,19:18:59 - July 16 - 2011,,,,,,,,,,,,
,,,,,,,,,,,,,
Time,Core 0 Temp. (°),Core 1 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz)
19:24:23,72,71,,,43,76,30,2460.5,,40,78,35,2394
19:24:24,67,69,,,43,76,25,2194.5,,40,78,33,2128
19:24:25,64,63,,,43,76,19,2261,,40,78,30,2128
19:24:26,63,60,,,43,76,27,2394,,40,78,25,2261
19:24:27,65,61,,,43,76,31,2327.5,,40,78,21,2128
19:24:28,62,62,,,43,76,21,2261,,40,78,29,2128
19:24:29,63,60,,,43,76,26,2394,,40,78,26,2261
19:24:30,61,61,,,43,76,25,2261,,40,78,29,2261
19:24:31,61,60,,,43,76,25,2261,,40,78,25,2194.5
19:24:32,61,59,,,43,76,23,2327.5,,40,78,27,2327.5
19:24:33,60,60,,,43,76,26,2261,,40,78,25,2061.5
19:24:34,61,58,,,43,76,26,2194.5,,40,78,26,2194.5
19:24:35,62,58,,,43,76,26,2261,,40,78,27,2128
19:24:36,61,61,,,43,76,25,2261,,40,78,25,2194.5
19:24:37,61,58,,,43,76,25,2261,,40,78,23,2128
19:24:38,62,60,,,43,76,27,2194.5,,40,78,25,2194.5
19:24:39,60,59,,,43,76,18,2261,,40,78,31,2128
19:24:40,60,60,,,43,76,26,2261,,40,78,23,2128
19:24:41,60,58,,,43,76,27,2261,,40,78,24,2194.5
19:24:42,62,59,,,43,76,22,2261,,40,78,28,2327.5
19:24:43,59,60,,,43,76,25,2194.5,,40,78,25,2261
19:24:44,61,60,,,43,76,34,2194.5,,40,78,43,2261
19:24:45,68,59,,,43,76,41,2261,,40,78,35,2261
19:24:46,62,69,,,43,76,28,2261,,40,78,45,2128
19:24:47,66,65,,,43,76,41,2128,,40,78,34,2194.5
19:24:48,68,67,,,43,76,40,2128,,40,78,36,2128
19:24:49,63,72,,,43,76,32,2128,,40,78,41,2128
19:24:50,63,74,,,43,76,38,2261,,40,78,37,2128
19:24:51,64,75,,,43,76,39,2327.5,,40,78,37,2261
19:24:52,70,66,,,43,76,37,2061.5,,40,78,37,2261
