Seconds	System	CPU	AUX	HD0	Core 0	Core 1	3Vsb	Vbat	Vcore	+12V	AVcc	3Vcc
54475	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54478	43.0	43.0	44.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54481	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54484	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54487	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54490	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54493	43.0	43.0	44.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54496	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54499	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54502	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54505	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54508	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54511	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54515	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54518	43.0	43.0	44.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54521	43.0	43.0	44.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54524	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54527	43.0	43.0	44.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54530	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
