Seconds	System	CPU	AUX	HD0	Core 0	Core 1	3Vsb	Vbat	Vcore	+12V	AVcc	3Vcc
65030	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65033	34.0	34.0	42.5	33.0	38.0	30.0	3.33	3.26	1.17	7.55	3.34	3.34
65036	36.0	36.0	42.5	33.0	36.0	31.0	3.33	3.26	1.17	7.55	3.34	3.34
65039	31.0	31.0	41.0	33.0	31.0	30.0	3.33	3.26	1.17	7.55	3.34	3.34
65043	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.17	7.55	3.34	3.34
65046	31.0	31.0	41.0	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65049	31.0	31.0	41.0	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65052	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65055	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65058	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65061	31.0	31.0	40.0	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65064	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65067	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65070	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65073	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65076	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65079	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65082	31.0	31.0	40.0	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65085	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65088	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65091	31.0	31.0	40.0	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65094	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65098	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65101	34.0	34.0	42.5	33.0	37.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65104	35.0	35.0	44.0	33.0	34.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65107	32.0	32.0	40.5	33.0	32.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65110	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65113	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65116	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65119	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65122	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65125	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65128	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
