Unique ID, Manufacturer, Chemistry, Voltage (Volts)
43352 2009/09/19Hewlett-PackardPrimary, Hewlett-Packard, Lithium Ion, 10.63

Date, Time, Status, %Charge, Total life(hours), Remaining life(sec), Charge Rate, Bat1 Temperature, Bat1 Voltage, Bat1 Charge Rate, Bat1 %Charge, Bat2 Temperature, Bat2 Voltage, Bat2 Charge Rate, Bat2 %Charge, Bat3 Temperature, Bat3 Voltage, Bat3 Charge Rate, Bat3 %Charge, Bat4 Temperature, Bat4 Voltage, Bat4 Charge Rate, Bat4 %Charge
2011-07-01, 15:59:26, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:59:27, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:59:28, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:59:29, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:59:30, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:59:31, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:59:32, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:59:33, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:59:34, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:59:35, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:59:36, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:59:37, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:59:38, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:59:39, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:59:40, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:59:41, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:59:42, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:59:43, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:59:44, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:59:45, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:59:46, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:59:47, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:59:48, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:59:49, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:59:50, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
