CPUID:,0x200F31
Processor:,Mobile AMD Turion X2 RM-74 (Griffin)
Platform:,Socket S1g2 (638 pin)
Revision:,LG-B1
Lithography:,65nm

Session start:,13:32:12 - July 01 - 2011

Time,CPU 0 Temp. (°),,CPU 0,Low temp. (°),High temp. (°),Core load (%),CPU speed (MHz),
13:38:45,53,,,52,68,3,550.01,
13:38:46,53,,,52,68,0,550.01,
13:38:47,53,,,52,68,3,550.01,
13:38:48,53,,,52,68,3,550.01,
13:38:49,53,,,52,68,3,550.01,
13:38:50,53,,,52,68,0,550.01,
13:38:51,52,,,52,68,3,550.01,
13:38:52,52,,,52,68,2,550.01,
13:38:53,52,,,52,68,3,550.01,
13:38:54,53,,,52,68,0,550.01,
13:38:55,52,,,52,68,5,550.01,
13:38:56,52,,,52,68,2,550.01,
13:38:57,52,,,52,68,5,550.01,
13:38:58,52,,,52,68,2,550.01,
13:38:59,52,,,52,68,3,550.01,
13:39:00,52,,,52,68,2,550.01,
13:39:01,52,,,52,68,3,550.01,
13:39:02,52,,,52,68,2,550.01,
13:39:03,53,,,52,68,3,550.01,
13:39:04,53,,,52,68,2,550.01,
13:39:05,53,,,52,68,3,550.01,
13:39:06,52,,,52,68,2,550.01,
13:39:07,52,,,52,68,5,550.01,
13:39:08,52,,,52,68,2,550.01,
13:39:09,52,,,52,68,3,550.01,
13:39:10,52,,,52,68,2,550.01,
13:39:11,52,,,52,68,3,550.01,
13:39:12,52,,,52,68,2,550.01,
13:39:13,52,,,52,68,2,550.01,
13:39:14,52,,,52,68,5,550.01,
13:39:15,52,,,52,68,3,550.01,
13:39:16,52,,,52,68,0,550.01,
13:39:17,52,,,52,68,8,550.01,
13:39:18,52,,,52,68,2,550.01,
13:39:19,52,,,52,68,3,550.01,
13:39:20,52,,,52,68,2,550.01,
13:39:21,52,,,52,68,3,550.01,
13:39:22,52,,,52,68,2,550.01,
13:39:23,52,,,52,68,3,550.01,
13:39:24,52,,,52,68,0,550.01,
13:39:25,52,,,52,68,3,550.01,
13:39:26,52,,,52,68,2,550.01,
13:39:27,52,,,52,68,3,550.01,
13:39:28,52,,,52,68,2,550.01,
13:39:30,52,,,52,68,3,550.01,
13:39:31,52,,,52,68,2,550.01,
13:39:32,52,,,52,68,3,550.01,
13:39:33,52,,,52,68,2,550.01,
13:39:34,52,,,52,68,2,550.01,
13:39:35,52,,,52,68,2,550.01,
13:39:36,52,,,52,68,14,550.01,
13:39:37,55,,,52,68,35,550.01,
13:39:38,55,,,52,68,14,550.01,
13:39:39,55,,,52,68,0,550.01,
13:39:40,54,,,52,68,2,550.01,
13:39:41,54,,,52,68,3,550.01,
13:39:42,54,,,52,68,0,550.01,
13:39:43,54,,,52,68,3,550.01,
13:39:44,54,,,52,68,2,550.01,
13:39:45,54,,,52,68,3,550.01,
